"user","age","gender","location","distribution_excellent","distribution_very_good","distribution_avergae","distribution_poor","distribution_terrible"
"Theocharis","","","Larnaka Cyprus","28.0","6.0","5.0","0.0","0.0"
"300Traveller_44","","woman","Nottingham, United Kingdom","12.0","32.0","9.0","0.0","1.0"
"valnollan77","","","Thessaloniki, Greece","5.0","6.0","3.0","1.0","0.0"
"Chariklia G","50-64","woman","Kifissia, Greece","3.0","0.0","0.0","0.0","0.0"
"Theodoulos T","","","","2.0","3.0","0.0","0.0","0.0"
"Alexander P","","","Nicosia, Cyprus","5.0","1.0","2.0","1.0","0.0"
"JonFromUk","35-49","man","Edinburgh, United Kingdom","23.0","31.0","12.0","1.0","0.0"
"Mike84097","","","Orem, Utah","10.0","9.0","0.0","0.0","0.0"
"Fotis N","","","Argyroupolis, Attiki, Greece","4.0","2.0","3.0","0.0","0.0"
"Georgia P","","","","","","","",""
"lukebugeja1984","","","Mgarr, Malta","8.0","16.0","6.0","4.0","1.0"
"jean a","35-49","man","Athens, Alabama","76.0","29.0","9.0","2.0","5.0"
"elis_rt","25-34","man","Tirana, Albania","9.0","3.0","4.0","0.0","4.0"
"Constantina_26","","","Limassol City, Cyprus","14.0","2.0","0.0","0.0","0.0"
"Thanasis B","35-49","man","Greece","12.0","23.0","10.0","4.0","0.0"
"Georgieva A","","","","6.0","0.0","0.0","0.0","0.0"
"TheCapedTraveller","35-49","man","Athens","4.0","10.0","3.0","1.0","0.0"
"204anisam","","","","5.0","1.0","0.0","0.0","0.0"
"68katerina","","","Corfu, Greece","14.0","4.0","0.0","1.0","0.0"
"Ioannis P","25-34","man","New York","5.0","0.0","0.0","0.0","0.0"
"FERNANDORODRIGUES","","","Estoril, Portugal","20.0","46.0","10.0","2.0","0.0"
"Zalavra_Elena","35-49","woman","Athens, Greece","7.0","4.0","1.0","1.0","0.0"
"G_Neofitou","","","","","","","",""
"DimitrisTsio","","","Thessaloniki Region, Greece","","","","",""
"dimantikas85","","","","","","","",""
"2142001","35-49","woman","Larnaca, Cyprus","3.0","4.0","7.0","4.0","1.0"
"Fotis L","","","Athens, Greece","6.0","1.0","1.0","0.0","0.0"
"alaakinan51","50-64","man","Baghdad, Iraq","1.0","4.0","0.0","0.0","0.0"
"ChrisChrysostalis","35-49","man","Athens, Greece","6.0","13.0","8.0","3.0","1.0"
"Elena A","35-49","woman","Sofia, Bulgaria","3.0","3.0","2.0","0.0","0.0"
"RayMargaretG","","","Blenheim, New Zealand","12.0","6.0","0.0","0.0","1.0"
"Smokedeel","","man","Athens, Greece","45.0","103.0","72.0","22.0","1.0"
"Ivaylo T","35-49","man","Sofia, Bulgaria","9.0","6.0","2.0","1.0","2.0"
"Tony J","35-49","man","Nicosia, Cyprus","","","","",""
"8orhan8","","","Istanbul, Istanbul, Turkey","","","","",""
"Nil B","","","Istanbul, Turkey","54.0","16.0","6.0","0.0","0.0"
"Electranieda","35-49","man","Glasgow, United Kingdom","32.0","23.0","12.0","4.0","3.0"
"demykg","","","Thessaloniki, Greece","","","","",""
"touristas97","35-49","man","Athens, Greece","104.0","136.0","61.0","13.0","9.0"
"KathyinAthens","","woman","Athens, Greece","40.0","18.0","2.0","0.0","1.0"
"erolbenezra","50-64","man","Istanbul, Turkey","77.0","54.0","23.0","9.0","6.0"
"bel1973","","woman","London, United Kingdom","0.0","2.0","1.0","0.0","0.0"
"oggie31","","woman","Athens","13.0","9.0","2.0","0.0","1.0"
"Jono R","35-49","man","Netanya, Israel","69.0","19.0","19.0","1.0","3.0"
"Alexios R","","","Panorama, Greece","76.0","29.0","34.0","23.0","16.0"
"Erisa D","","","","","","","",""
"Gunduz G","","","","","","","",""
"811dominikp","","","","","","","",""
"Lia_ritsi","","","","","","","",""
"ChrysiliaE","","","","","","","",""
"dannytamimaya","","","","","","","",""
"grigoriskar","","","","","","","",""
"Jim14-05-1984","","","","","","","",""
"elpidadonikal","","","","","","","",""
"296kostasp","","","","","","","",""
"mambaAthens","","","","","","","",""
"IMB100","","","","","","","",""
"Nick A","","","","","","","",""
"937mariuss","","","","","","","",""
"Dannie9anton","","","","","","","",""
"JohannaHave","","","","","","","",""
"Chris Y","","","","","","","",""
"Scott_Gean","","","","","","","",""
"Liz G","","","","","","","",""
"doinac736","","","","","","","",""
"TurkLoves2Travel","","","","","","","",""
"Vesna Kuljic S","","","","","","","",""
"YiannisG1971","","","","","","","",""
"georgekastri","","","","","","","",""
"euklidb2017","","","","","","","",""
"ClaricePinho","","","","","","","",""
"Ernst_Amsterdam","","","","","","","",""
"Kemal B","","","","","","","",""
"Andreas067","","","","","","","",""
"Elwood_2405","","","","","","","",""
"Osc4723","","","","","","","",""
"Xristos P","","","","","","","",""
"mariosi641205","","","","","","","",""
"Sven P","","","","","","","",""
"thelondontraveler","","","","","","","",""
"nicusorg692","","","","","","","",""
"Carolina G","","","","","","","",""
"Zachyss","","","","","","","",""
"Duran S","","","","","","","",""
"andreas s","","","","","","","",""
"elenilam","","","","","","","",""
"Ваня Д","","","","","","","",""
"267irinkas","","","","","","","",""
"George541","","","","","","","",""
"Greenpen","","","","","","","",""
"sandros430","","","","","","","",""
"geopath","","","","","","","",""
"Alu82","","","","","","","",""
"IoliC","","","","","","","",""
"Bilyana B","","","","","","","",""
"NomiB9","","","","","","","",""
"kalliopik310","","","","","","","",""
"2468226","","","","","","","",""
"SonomaNancy","","","","","","","",""
"mariaelaia","","","","","","","",""
"Alexandra C","","","","","","","",""
"Goofball1946","","","","","","","",""
"MissElle73","","","","","","","",""
"832LarsB","","","","","","","",""
"DenisssMir","","","","","","","",""
"va l","","","","","","","",""
"ChandraS3","","","","","","","",""
"lizabellett","","","","","","","",""
"TheSage S","","","","","","","",""
"Nikos D","","","","","","","",""
"Dimitris M","","","","","","","",""
"xara p","","","","","","","",""
"chascurtis","","","","","","","",""
"Memphisworldtraveler","","","","","","","",""
"journalist92","","","","","","","",""
"erolys","","","","","","","",""
"445patrickh","","","","","","","",""
"MarkLA94","","","","","","","",""
"lorel226","","","","","","","",""
"Road20years","","","","","","","",""
"Aby L","","","","","","","",""
"John D","","","","","","","",""
"slylie2 .","","","","","","","",""
"deesoto","","","","","","","",""
"Villanzone","","","","","","","",""
"Petros B","","","","","","","",""
"Omiros K","","","","","","","",""
"Martina B","","","","","","","",""
"jojo_globetrotter","","","","","","","",""
"Piko_TMA","","","","","","","",""
"NEWSTED1981","","","","","","","",""
"845marinav","","","","","","","",""
"Birdloversofthenatyr","","","","","","","",""
"Michael S","","","","","","","",""
"Lleonie P","","","","","","","",""
"Xenia_Ddd","","","","","","","",""
"BARAK36H","","","","","","","",""
"Victor M","","","","","","","",""
"MizzFunk","","","","","","","",""
"miriamsum","","","","","","","",""
"Zoran T","","","","","","","",""
"Marija G","","","","","","","",""
"Alida02","","","","","","","",""
"drakeszi","","","","","","","",""
"Don_Momchilio","","","","","","","",""
"Li0nelX","","","","","","","",""
"Spartan_01","","","","","","","",""
"Marie O","","","","","","","",""
"apsouva","","","","","","","",""
"Petrit A","","","","","","","",""
"Ipsarionbiketours","","","","","","","",""
"adryali","","","","","","","",""
"NantesFlounette","","","","","","","",""
"alpho1921","","","","","","","",""
"RealHotel","","","","","","","",""
"BelmondoJP","","","","","","","",""
"gali441","","","","","","","",""
"Samet K","","","","","","","",""
"Panayiotis1983","","","","","","","",""
"Lisa S","","","","","","","",""
"okyalos","","","","","","","",""
"Vadzim9","","","","","","","",""
"Splague","","","","","","","",""
"Avital H","","","","","","","",""
"Axisofelvis","","","","","","","",""
"neofytos","","","","","","","",""
"DogusErdogan","","","","","","","",""
"Shirz12","","","","","","","",""
"oldbiddies","","","","","","","",""
"MarshaBrady75","","","","","","","",""
"Nicodemus0","","","","","","","",""
"REDMAN5314","","","","","","","",""
"perakash","","","","","","","",""
"alexandernisses","","","","","","","",""
"ilanr903","","","","","","","",""
"Or S","","","","","","","",""
"Monique D","","","","","","","",""
"29februaries","","","","","","","",""
"Alamadrala","","","","","","","",""
"sjaf_xo","","","","","","","",""
"mircea p","","","","","","","",""
"Annika E","","","","","","","",""
"elinatsolackopoulou","","","","","","","",""
"buralgan","","","","","","","",""
"dimitri a","","","","","","","",""
"Live4Travel909","","","","","","","",""
"J L A","","","","","","","",""
"Krustev","","","","","","","",""
"christos122","","","","","","","",""
"Il_postino58","","","","","","","",""
"Prevelis","","","","","","","",""
"IonutChepeneag","","","","","","","",""
"Dragosdmx","","","","","","","",""
"Alina17_10","","","","","","","",""
"osinugao","","","","","","","",""
"andreea_me","","","","","","","",""
"CharlieCYC","","","","","","","",""
"Ilinca29","","","","","","","",""
"MakDave","","","","15.0","17.0","6.0","0.0","1.0"
"Isida85","","","","","","","",""
"Ermina T","","","","1.0","0.0","2.0","1.0","0.0"
"Kostas G","","","","","","","",""
"Elizabeth M","","","","","","","",""
"510marjank","","","","","","","",""
"Gustav160","","","","","","","",""
"marie B","","","","","","","",""
"nihal k","","","","","","","",""
"211martink","","","","","","","",""
"irenepapasavva","","","","","","","",""
"tiberiuivan","","","","","","","",""
"Agim H","","","","","","","",""
"irina_oana55","25-34","woman","Bucuresti","5.0","0.0","0.0","1.0","1.0"
"jamesjones1960","","","","","","","",""
"Jazzer4","","man","Jazzer4","16.0","14.0","10.0","6.0","5.0"
"PaulTLynch","","","","","","","",""
"G8437ZT_","","","","","","","",""
"markthetraveller2015","","","Athens, Greece","8.0","3.0","1.0","0.0","0.0"
"LampiA","","","Karditsa, Greece","0.0","5.0","2.0","0.0","0.0"
"annar996","","","","","","","",""
"Indrani G","","","Bengaluru, India","8.0","7.0","1.0","0.0","0.0"
"Argyridou S","","","CYPRUS","143.0","64.0","28.0","9.0","10.0"
"sneezenwheez","35-49","man","St. George, Utah","109.0","24.0","46.0","48.0","4.0"
"Experience138189","","","","2.0","3.0","1.0","0.0","1.0"
"Maria B","","woman","Budapest","69.0","14.0","1.0","0.0","1.0"
"SteveDrew","50-64","man","London, United Kingdom","10.0","16.0","5.0","0.0","1.0"
"MrPokey","","","","","","","",""
"Nancy K","","","","","","","",""
"JohnSimo1979","","","Baulkham Hills, Australia","32.0","24.0","14.0","1.0","3.0"
"Corina B","25-34","woman","Bucharest, Romania","14.0","9.0","2.0","3.0","0.0"
"Kateron","25-34","woman","Sydney, Australia","8.0","6.0","5.0","0.0","0.0"
"igor R","25-34","man","Bar, Montenegro","1.0","1.0","0.0","2.0","0.0"
"Travelino_1982","","","Ioannina, Greece","4.0","6.0","2.0","0.0","0.0"
"NikRhodes","","","","","","","",""
"shinshan","","","Istanbul, Turkey","2.0","4.0","0.0","1.0","1.0"
"Popitsa","35-49","","rethymnon","6.0","7.0","5.0","3.0","4.0"
"pilgrim55","","","","","","","",""
"kurios_dj","","","","","","","",""
"dominique d","","","","","","","",""
"Anne F","","","","","","","",""
"460rachelg","","","","3","0.0","0.0","0.0","0.0"
"deppylaw","","","","","","","",""
"Marina M","","","","","","","",""
"Compass810298","50-64","man","Dublin, Ireland","112","70.0","31.0","8.0","1.0"
"TravellingGreece2020","","","","","","","",""
"Karimcool","25-34","man","Berlin, Germany","24","18.0","5.0","1.0","1.0"
"papanikolaoumagda","","","Alexandroupoli, Greece","8","2.0","0.0","4.0","1.0"
"zigno2009","50-64","man","Bracciano, Italy","75","121.0","34.0","8.0","5.0"
"Spyros A","","","","","","","",""
"Dimitar Z","35-49","man","Skopje, Republic of North Macedonia","21","15.0","3.0","1.0","2.0"
"lanzadreamer","","man","Nottingham, United Kingdom","17","26.0","8.0","2.0","1.0"
"missharlyn","","","","","","","",""
"DavidO5123","","","","","","","",""
"mayorkasdaniel","","","","","","","",""
"jibishi","","","","","","","",""
"btraveller56","","","","","","","",""
"Marjorie W","","","Fairbanks, United States","8","0.0","0.0","0.0","1.0"
"Sveta_10","","","Jerusalem","6","1.0","0.0","0.0","0.0"
"Pinarelena","","","","","","","",""
"Mark S","50-64","man","London, United Kingdom","38","74.0","24.0","8.0","2.0"
"takisgeorgiles","","","","","","","",""
"Rebel1861","","man","Norwich, United Kingdom","64","14.0","5.0","3.0","1.0"
"Cruiser712339","","","","","","","",""
"adrian_ion2002","","","","","","","",""
"iorgulescuionut","","","","","","","",""
"TsankoDon","","man","Lefkada, Greece","2","0.0","0.0","0.0","1.0"
"Dare888","","","Vancouver, Canada","1","4.0","2.0","0.0","0.0"
"Marzi11","","","","","","","",""
"kostass855","","","","9","0.0","0.0","0.0","0.0"
"makopejkina","","","Moscow, Russia","","","","",""
"albertog943","","","Rome, Italy","17","0.0","2.0","3.0","0.0"
"Solunjuly2019","","","","","","","",""
"fanny19972019","","","","","","","",""
"DemosA23","","","Nicosia, Cyprus","4","5.0","4.0","1.0","0.0"
"SasaBoskovic","","","Podgorica, Montenegro","","","","",""
"oti2019","","","","","","","",""
"VKonsulov","25-34","man","Plovdiv, Bulgaria","63","43.0","20.0","9.0","6.0"
"mickheide","","","Newcastle upon Tyne, United Kingdom","","","","",""
"Craig K","","","","","","","",""
"Wanderer25358470936","","","Kansas City, Missouri","","","","",""
"bfindysz","","man","Jerusalem District, Israel","387","196.0","49.0","4.0","13.0"
"Rastko M","","man","Beograd","","","","",""
"Ilias D","","","","","","","",""
"ΠΕΤΡΟΣ Π","","","Athens, Greece","5","0.0","1.0","0.0","0.0"
"Balkan G","","","","2","2.0","0.0","0.0","0.0"
"raymondgonzales1978","25-34","man","San Francisco, California","126","10.0","4.0","2.0","6.0"
"paul h","","","Crawley, United Kingdom","9","21.0","16.0","3.0","4.0"
"_davidbitton0","","","Tel Aviv, Israel","1","0.0","0.0","0.0","2.0"
"pazitush","","","","","","","",""
"Steve O","","","","","","","",""
"Myra C","","","Denver, United States","4","0.0","0.0","0.0","0.0"
"Roving08929919048","","","","","","","",""
"Idele S","","","Jerusalem, Israel","3","14.0","0.0","1.0","0.0"
"Booyah78","25-34","woman","Toronto, Canada","18","35.0","17.0","7.0","4.0"
"samos1957","","","","1","8.0","1.0","0.0","0.0"
"Alison B","","","","4","6.0","0.0","0.0","0.0"
"Chryssa G","","","","5","3.0","3.0","0.0","0.0"
"ChrisM262","","","District of Columbia","13","2.0","0.0","0.0","0.0"
"RuthChearnley","25-34","woman","Limerick, Ireland","19","1.0","2.0","0.0","1.0"
"paulsZ9852JC","50-64","man","Atwerpen, Belgium","4","20.0","2.0","1.0","0.0"
"pavloshalikias","","","Rhodes, Greece","","","","",""
"edgardog904","","","Rome, Italy","17","9.0","2.0","4.0","5.0"
"anastasiap362","","","","12","0.0","2.0","2.0","0.0"
"tclark123","","","London, Canada","4","0.0","0.0","0.0","1.0"
"ThomasT4656","","","Marrakech, Morocco","3","2.0","0.0","0.0","0.0"
"talinec2015","35-49","woman","Boston, Massachusetts","40","6.0","4.0","0.0","4.0"
"LindaAgas","35-49","woman","Fairy Meadow, Australia","66","42.0","28.0","11.0","8.0"
"DamianFleming","","","London, United Kingdom","25","6.0","1.0","0.0","0.0"
"Wander794105","","","Aspley Guise, United Kingdom","19","17.0","6.0","4.0","0.0"
"BDownUnderB","","","Melbourne, Australia","52","57.0","41.0","7.0","6.0"
"ZoranL115","","","","","","","",""
"WandaCoxProductions","","","Vienna, Austria","8","3.0","2.0","1.0","1.0"
"ParisandVenice","50-64","woman","Paris, France","182","59.0","35.0","17.0","13.0"
"יעקב ח","","","הרצליה, ישראל","79","31.0","16.0","2.0","0.0"
"PetDim","","","Madrid, Spain","23","110.0","126.0","26.0","4.0"
"Nnattassa","","","Novi Sad, Serbia","11","2.0","1.0","0.0","0.0"
"atastr","","","Istanbul,TR","4","7.0","11.0","3.0","1.0"
"Sim0nMcC","35-49","man","Nairobi, Kenya","83","144.0","48.0","20.0","2.0"
"CELIA M","","","Huddersfield, United Kingdom","10","3.0","0.0","0.0","0.0"
"Bojana S","","","","","","","",""
"ozvardar72","35-49","man","Istanbul, Turkey","6","0.0","0.0","1.0","1.0"
"AnisahM","25-34","woman","Kuwait City, Kuwait","77","60.0","46.0","18.0","4.0"
"Dejan M","","","Belgrade, Serbia","6","4.0","0.0","0.0","0.0"
"avidorfman","","","","","","","",""
"Arjanismajli","","","Ferizaj, Kosovo","14","3.0","1.0","2.0","8.0"
"Beautifullife2021","","","","2","5.0","0.0","0.0","0.0"
"Gpagi","35-49","man","Athens, Greece","19","36.0","9.0","1.0","0.0"
"Michail T","","","Athens, Greece","7","0.0","0.0","0.0","0.0"
"UluFamily","","man","Munich, Germany","22","5.0","3.0","1.0","1.0"
"yanem","","","israel","66","33.0","14.0","8.0","0.0"
"101vladislavl","","","","","","","",""
"Jeff B","","","","","","","",""
"2019Asitravel","35-49","man","Bucharest, Romania","31","42.0","16.0","1.0","1.0"
"Mark D","","","","","","","",""
"TOULA T","50-64","woman","brisbane","21","14.0","4.0","0.0","0.0"
"travellersmall","","","World","29","4.0","3.0","1.0","0.0"
"nikosk412","","","","","","","",""
"Travellerannel","","","","","","","",""
"78darrelw","","","","","","","",""
"Calin O","","","","","","","",""
"GNS_on_tour","","","","","","","",""
"CHRISTOS_GR60","","","","","","","",""
"Pierre A","","","","5","0.0","0.0","0.0","0.0"
"P-Freddy","","","","","","","",""
"IMakdessi","","man","Doha, Qatar","7","2.0","3.0","2.0","1.0"
"Saba_Sezgi_I","","","Istanbul, Turkey","15","3.0","4.0","0.0","0.0"
"IgorOdessa2016","","","","","","","",""
"lakisfv","","","","3","0.0","0.0","0.0","0.0"
"svetlin","35-49","man","Sofia, Bulgaria","9","0.0","0.0","1.0","3.0"
"Sc6874","","man","Tisbury, United Kingdom","111","67.0","17.0","1.0","0.0"
"jilly D","","","","","","","",""
"Andreea P","","","","","","","",""
"marinero_loco","","","","","","","",""
"Jelena K","","","","2","2.0","0.0","0.0","0.0"
"NikosGkar","18-24","man","Athens, Greece","7","9.0","4.0","10.0","11.0"
"Soutenu","","","","","","","",""
"richoh1","","","Ipswich, United Kingdom","18","15.0","9.0","4.0","2.0"
"Puddlepirate65","","man","Mansfield, United Kingdom","20","12.0","3.0","3.0","1.0"
"Christos52","","","","","","","",""
"Apostolos P","","","Westerlo, Belgium","17","53.0","18.0","10.0","2.0"
"Rinetaki","","","","","","","",""
"ackana","","","","","","","",""
"Andrea L","","","","","","","",""
"IdealTravelmate","","","","","","","",""
"finalarte","","","","","","","",""
"Jalal K","","","","","","","",""
"Sophos75","","","","","","","",""
"EmreK2512","","","","","","","",""
"Lazulite","35-49","man","Athens, Greece","53","25.0","12.0","18.0","1.0"
"Mervetilla","","","","","","","",""
"Kriszta5","","","","","","","",""
"patricia l","","","","","","","",""
"OlgaLimassol","35-49","woman","Limassol City, Cyprus","36","7.0","2.0","0.0","3.0"
"leesymiziris","","","","","","","",""
"SLOU77","","","","","","","",""
"tempalex123","","","","","","","",""
"Yiannis M","","","","","","","",""
"Pleurat H","","","","","","","",""
"Ioremos","","","","","","","",""
"pingowarner","","","Hjorring, Denmark","22","9.0","4.0","5.0","1.0"
"nimrodb209","","","","","","","",""
"Anastasios A","","","","","","","",""
"951lefterisa","","","","","","","",""
"victoriafromgreece","35-49","woman","Greece","76","61.0","13.0","1.0","0.0"
"stemor1951","","","","","","","",""
"Marek M","","","","","","","",""
"ageanblue","","","Melbourne","4","2.0","4.0","3.0","1.0"
"adimusic","","","","","","","",""
"prujim","50-64","man","Benfleet, Essex","61","67.0","2.0","0.0","0.0"
"François B","","","","","","","",""
"Spaki77","","","","","","","",""
"katesplane02","","","","","","","",""
"MaukC504","","","","","","","",""
"st0jankam","","","Belgrade, Serbia","6","0.0","0.0","0.0","1.0"
"418rafa_p","","","Warsaw, Poland","6","1.0","0.0","0.0","0.0"
"Babiskiss","35-49","man","Warsaw, Poland","153","164.0","78.0","28.0","8.0"
"612andreeaa","","woman","Bucharest, Romania","6","2.0","0.0","1.0","0.0"
"AConstantouris","","woman","Nicosia, Cyprus","","","","",""
"Ofer R","50-64","man","Herzliya, Israel","51","91.0","37.0","8.0","7.0"
"sirmollington","50-64","man","Northampton, United Kingdom","17","13.0","3.0","0.0","0.0"
"Nanouka","25-34","woman","Nicosia, Cyprus","11","2.0","1.0","0.0","0.0"
"diannebendall","","","Brookfield, Australia","28","13.0","2.0","0.0","1.0"
"likornios","35-49","man","Athens, Greece","254","267.0","212.0","40.0","6.0"
"995silvian","25-34","woman","Sofia, Bulgaria","15","8.0","0.0","2.0","6.0"
"Melioscyprus","","","Limassol City, Cyprus","3","0.0","1.0","0.0","0.0"
"Spyros K","","","Kifissia, Greece","23","5.0","1.0","0.0","0.0"
"Sladjana M","","","Belgrade, Serbia","","","","",""
"TalalJ557","","man","New York City, New York","44","144.0","121.0","39.0","6.0"
"StefanS6021","","","","","","","",""
"emiyahe","","woman","Washington DC, District of Columbia","28","4.0","0.0","0.0","0.0"
"Divaboy","","","Prague, Czech Republic","12","10.0","6.0","2.0","0.0"
"wynkoop98","","","Tokyo, Japan","34","18.0","12.0","1.0","3.0"
"Wkomo","","","","38","44.0","18.0","4.0","1.0"
"brachouioa","35-49","woman","Volos, Greece","17","8.0","4.0","4.0","4.0"
"kprkn","25-34","man","Bristol, United Kingdom","35","26.0","16.0","12.0","8.0"
"Evangelos V","35-49","man","Athens","8","9.0","4.0","0.0","0.0"
"PJInacio","","man","Hangzhou, China","10","11.0","1.0","1.0","2.0"
"elena45","35-49","woman","Athens, Greece","36","2.0","1.0","0.0","0.0"
"Joseph310","","","","","","","",""
"lorelie d","","","","","","","",""
"Zorana1981","","","Belgrade, Serbia","27","12.0","4.0","0.0","0.0"
"tz0v","","","Crete","18","4.0","2.0","1.0","0.0"
"Stefanie I","","man","Bucharest, Romania","147","35.0","21.0","7.0","10.0"
"Lesley L","","","Lefkada, Greece","19","2.0","1.0","0.0","0.0"
"Nikiforos P","35-49","man","Ioannina","3","3.0","0.0","0.0","0.0"
"djpend","","man","Preston, United Kingdom","298","380.0","178.0","59.0","16.0"
"Marios P","50-64","man","Nicosia, Nicosia, Cyprus","28","11.0","0.0","0.0","1.0"
"Carol P","","","","","","","",""
"stevebil1983","25-34","man","Stockholm, Sweden","18","46.0","32.0","10.0","2.0"
"Aksiniya M","","","","","","","",""
"Michalakis-cy","25-34","","Nicosia, Cyprus","17","33.0","24.0","9.0","6.0"
"Samuel B","","","Jerusalem, Israel","11","2.0","1.0","0.0","0.0"
"Krista_Dutca","25-34","woman","Brasov, Brasov, Romania","36","7.0","1.0","2.0","0.0"
"dragoss408","","man","Bucharest, Romania","33","32.0","15.0","0.0","0.0"
"SasaTsuru","35-49","man","Belgrade, Serbia","22","1.0","1.0","0.0","0.0"
"140tasso","","","","","","","",""
"jmal127","35-49","man","Thessaloniki Region, Greece","96","33.0","8.0","3.0","0.0"
"Horizonx30","25-34","man","London","29","38.0","20.0","4.0","0.0"
"johan605","","","Tilburg, The Netherlands","","","","",""
"Stella S","","","","","","","",""
"Radu G","","","","","","","",""
"petros_monogios","","","Limassol City, Cyprus","31","20.0","3.0","0.0","0.0"
"EUlrich","50-64","man","Utrecht, The Netherlands","86","96.0","43.0","3.0","2.0"
"Deyan D","","","Sofia, Grad Sofiya, Bulgaria","1","5.0","2.0","0.0","2.0"
"Ram_CME","","man","Bucharest, Romania","80","83.0","20.0","0.0","0.0"
"d-travel-planner","","","","","","","",""
"kostast68","","","","","","","",""
"Amiram H","","","","","","","",""
"loukac_pi","","","","","","","",""
"AIPPiraeus","","","","","","","",""
"nicnak984","25-34","","Newcastle upon Tyne, United Kingdom","5","6.0","0.0","0.0","2.0"
"Semeli62","","","Athens, Greece","16","1.0","0.0","1.0","0.0"
"viktor_manev","","","","","","","",""
"coolalexistravel","","","","","","","",""
"greekcypriot2009","","woman","Athens, Greece","1,001","584.0","205.0","33.0","6.0"
"XeniWales_UK","","","Wales,UK","11","20.0","6.0","3.0","0.0"
"Alex_NS","","","Novi Sad, Serbia","7","3.0","0.0","1.0","0.0"
"casmarti","50-64","woman","Kefalonia, Greece","37","23.0","10.0","8.0","2.0"
"Ana P","","","Bucuresti","2","2.0","0.0","0.0","0.0"
"Milomir B","","","","","","","",""
"Eli G","","","Tel Aviv, Israel","42","51.0","25.0","18.0","2.0"
"george b","","man","Perth, Australia","3","1.0","4.0","1.0","0.0"
"hezi m","50-64","man","Israel","72","19.0","4.0","1.0","1.0"
"kyleo14","","woman","London, United Kingdom","2","1.0","0.0","0.0","0.0"
"LindyAuckland","50-64","woman","New Plymouth, New Zealand","37","16.0","4.0","0.0","0.0"
"Danijelas542","","","","","","","",""
"fws001","","","","","","","",""
"Ketting","","","","","","","",""
"Dushy73","35-49","woman","Guildford, United Kingdom","84","60.0","21.0","2.0","2.0"
"chakina","","","","","","","",""
"Brian500","35-49","man","Toronto, Canada","8","14.0","1.0","1.0","0.0"
"Esroshka","","","","","","","",""
"ilias11","","","","","","","",""
"adirada74","35-49","man","Targoviste, Romania","26","23.0","7.0","1.0","0.0"
"cbwinter","35-49","man","Jensen Beach, Florida","88","35.0","7.0","0.0","6.0"
"Jim P","50-64","man","Melbourne, Australia","18","28.0","3.0","2.0","0.0"
"Peter M","","","","","","","",""
"Truthmann","","","","","","","",""
"NaydenIliev","","","","","","","",""
"2012kim","","","","","","","",""
"CY_foodie","","","","","","","",""
