"user","text_length","contains_question_mark","contains_exclamation_mark","contains_multiple_question_marks","contains_multiple_exclamation_marks","contains_multiple_dots","contains_happy_emotes","num_of_happy_emotes","contains_sad_emotes","num_of_sad_emotes","fraction_uppercase","Positive_Score","Negative_Score","distribution_excellent","distribution_very_good","distribution_avergae","distribution_poor","distribution_terrible","gender"
"1978beachgal","1274.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.6483516483516485","0.0","0.9994063377380372","38.0","12.0","10.0","3.0","1.0","woman"
"199gusm","698.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2.148997134670487","0.9989277720451356","0.0","18.0","13.0","5.0","5.0","2.0","man"
"1Lizzie","2019.0","1.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.6840019811788014","0.9988973140716552","0.0","47.0","31.0","1.0","0.0","0.0","woman"
"2010TravelMonkey","1025.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.170731707317073","0.9989114999771118","0.0","24.0","16.0","5.0","1.0","2.0","man"
"2019Asitravel","2342.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2.5901907139698377","0.9989224970340728","0.0","31.0","42.0","16.0","1.0","1.0","man"
"2142001","526.5","0.0","1.0","0.0","0.0","0.5","0.0","0.0","0.0","0.0","1.51374321880651","0.4982965290546417","0.4997550249099731","3.0","4.0","7.0","4.0","1.0","woman"
"217gadyh","431.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.9280742459396752","0.9989116191864014","0.0","23.0","40.0","7.0","0.0","0.0","man"
"219GeorgeY","536.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.1194029850746268","0.9988678693771362","0.0","26.0","15.0","1.0","0.0","0.0","man"
"223matjazd","642.5","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.929511334902064","0.9944116175174712","0.0","13.0","11.0","12.0","0.0","1.0","man"
"232John","2211.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.854364540931705","0.9989263415336608","0.0","18.0","15.0","1.0","0.0","0.0","man"
"233debraw","447.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.8993993993994","0.9988711178302764","0.0","28.0","15.0","6.0","10.0","6.0","woman"
"282Elena","676.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","3.8461538461538463","0.9988752007484436","0.0","5.0","0.0","0.0","0.0","1.0","woman"
"282eirinis","217.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2.7649769585253456","0.998596489429474","0.0","4.0","2.0","2.0","4.0","3.0","woman"
"295olyd","735.0","0.0","1.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","1.2244897959183674","0.9988364577293396","0.0","25.0","12.0","2.0","0.0","0.0","woman"
"2BorNot","844.0","1.0","1.0","0.0","1.0","1.0","0.0","0.0","0.0","0.0","3.1990521327014214","0.9989332556724548","0.0","10.0","5.0","0.0","1.0","1.0","man"
"2Travell2","781.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.7682458386683738","0.99892920255661","0.0","102.0","89.0","6.0","0.0","0.0","man"
"2bristolians","624.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.7628205128205128","0.9989253878593444","0.0","42.0","16.0","5.0","10.0","2.0","woman"
"300Traveller_44","1147.0","0.0","1.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","1.3077593722755012","0.9989387392997742","0.0","12.0","32.0","9.0","0.0","1.0","woman"
"304wladimirs","780.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0","0.0","0.0","2.307692307692308","0.9989086389541626","0.0","10.0","1.0","0.0","1.0","1.0","man"
"310mc","289.5","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.9337236825713218","0.9989217817783356","0.0","11.0","0.0","0.0","0.0","0.0","man"
"310mikhael","700.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.4285714285714286","0.9988828301429749","0.0","10.0","90.0","61.0","8.0","2.0","man"
"312578Helen","425.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2.117647058823529","0.9989243149757384","0.0","49.0","10.0","9.0","1.0","2.0","woman"
"312GEORGEP","623.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.6051364365971106","0.9989365935325624","0.0","11.0","30.0","15.0","1.0","0.0","man"
"321ridvand","538.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.3717472118959107","0.9989043474197388","0.0","3.0","3.0","1.0","0.0","0.0","man"
"323MartinB","458.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2.1834061135371177","0.998933970928192","0.0","3.0","7.0","1.0","0.0","0.0","man"
"338m_d_linaa","341.0","0.5","0.5","0.0","0.0","0.5","0.5","0.5","0.0","0.0","1.4755261700360012","0.4994178116321563","0.4997559785842895","6.0","2.0","2.0","2.0","0.0","woman"
"34292","700.3333333333334","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","3.075580038836362","0.9988949100176492","0.0","45.0","53.0","24.0","12.0","4.0","man"
"345yiannisp","265.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.9988723397254944","0.0","9.0","13.0","4.0","3.0","0.0","man"
"387emmanuell","725.0","0.0","1.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","1.793103448275862","0.998922884464264","0.0","13.0","14.0","5.0","4.0","3.0","man"
"400PeterR","435.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2.2988505747126435","0.9989173412322998","0.0","31.0","27.0","1.0","0.0","0.0","man"
"400carolyn","1158.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.8635578583765112","0.9989346861839294","0.0","21.0","1.0","0.0","2.0","0.0","woman"
"442iriso","2041.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.71484566389025","0.0","0.99951434135437","7.0","3.0","2.0","3.0","0.0","woman"
"451marcusf","1757.0","0.0","1.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","2.2766078542970973","0.0","0.9995014667510986","27.0","16.0","14.0","0.0","2.0","man"
"490satishs","433.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2.3094688221709005","0.0","0.9991835951805116","110.0","229.0","149.0","22.0","10.0","man"
"492malid","336.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2.976190476190476","0.9989036321640016","0.0","55.0","57.0","18.0","4.0","5.0","man"
"502nikosx","211.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.4218009478672986","0.0","0.9992788434028624","24.0","10.0","8.0","2.0","0.0","man"
"505russellj","372.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0752688172043012","0.9989301562309264","0.0","10.0","15.0","2.0","0.0","1.0","man"
"505vicka","236.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","2.5423728813559325","0.9989173412322998","0.0","40.0","7.0","10.0","3.0","4.0","man"
"533reuvens","294.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2.380952380952381","0.998930275440216","0.0","14.0","13.0","4.0","0.0","0.0","man"
"552linaz","647.0","0.0","0.5","0.0","0.5","0.0","0.0","0.0","0.0","0.0","2.402932735063465","0.9989251792430878","0.0","12.0","5.0","1.0","1.0","0.0","woman"
"571eswarp","304.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.644736842105263","0.9989275336265564","0.0","3.0","0.0","1.0","0.0","1.0","man"
"589MichaelP","880.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.3636363636363635","0.9988314509391784","0.0","59.0","237.0","101.0","3.0","2.0","man"
"607jnb","377.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2.6525198938992043","0.9985295534133912","0.0","1.0","1.0","1.0","0.0","0.0","man"
"612andreeaa","578.0","0.0","0.5","0.0","0.0","0.0","0.5","0.5","0.0","0.0","1.7211199150845895","0.4994678795337677","0.4997528791427612","6.0","2.0","0.0","1.0","0.0","woman"
"613linas","452.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.5486725663716814","0.9989296793937684","0.0","4.0","0.0","0.0","0.0","0.0","man"
"638xristinas","225.0","0.0","1.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","3.111111111111111","0.9989376664161682","0.0","9.0","0.0","0.0","0.0","0.0","woman"
"648curtisb","986.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.5212981744421907","0.9958848357200624","0.0","11.0","2.0","1.0","1.0","0.0","man"
"658barise","210.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","2.380952380952381","0.9989180564880372","0.0","5.0","8.0","1.0","0.0","0.0","man"
"658marianl","583.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.37221269296741","0.0","0.991213858127594","12.0","13.0","7.0","0.0","0.0","man"
"664c_t_linag","428.5","0.0","0.0","0.0","0.0","0.5","0.0","0.0","0.0","0.0","1.412942652916462","0.4994643628597259","0.4997518658638","7.0","2.0","3.0","1.0","1.0","man"
"685henry2019","260.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.5384615384615383","0.9989271759986876","0.0","44.0","0.0","0.0","0.0","2.0","man"
"701darinan","211.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.895734597156398","0.0","0.9897361993789672","17.0","6.0","5.0","0.0","1.0","woman"
"716jennyk","343.0","0.0","1.0","0.0","1.0","1.0","0.0","0.0","0.0","0.0","1.1661807580174928","0.9989257454872132","0.0","3.0","0.0","0.0","0.0","0.0","man"
"735PLR","689.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.4513788098693758","0.9988076686859132","0.0","106.0","192.0","67.0","10.0","1.0","woman"
"748asas","384.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","3.125","0.9989344477653505","0.0","10.0","17.0","5.0","2.0","0.0","woman"
"753annej","225.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.7777777777777777","0.9989327788352966","0.0","8.0","3.0","2.0","0.0","0.0","man"
"755gm","472.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","3.389830508474576","0.9989357590675354","0.0","5.0","0.0","0.0","0.0","0.0","man"
"773darrenf","326.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.9202453987730062","0.9989295601844788","0.0","40.0","8.0","5.0","4.0","2.0","man"
"777Helen","999.0","0.0","1.0","0.0","1.0","1.0","0.0","0.0","0.0","0.0","1.8018018018018016","0.9989319443702698","0.0","7.0","8.0","1.0","1.0","3.0","woman"
"7Natalia25","915.0","1.0","0.0","1.0","0.0","1.0","0.0","0.0","0.0","0.0","2.5136612021857925","0.9988951086997986","0.0","52.0","13.0","5.0","1.0","0.0","man"
"833tatiana2014","830.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.3253012048192772","0.998936116695404","0.0","22.0","3.0","3.0","0.0","0.0","woman"
"836desislavai","471.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.6985138004246283","0.0","0.9987878203392028","27.0","14.0","8.0","7.0","7.0","woman"
"839Anonymous","660.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2.272727272727273","0.9989274144172668","0.0","26.0","10.0","0.0","1.0","0.0","woman"
"854billk","570.0","1.0","1.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","2.982456140350877","0.9989211559295654","0.0","74.0","35.0","18.0","4.0","5.0","man"
"859hansj","326.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2.4539877300613497","0.9971146583557128","0.0","106.0","147.0","51.0","4.0","4.0","man"
"872mihaim","371.5","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","3.7695997449497134","0.9986155033111572","0.0","23.0","31.0","9.0","3.0","1.0","man"
"873karas","768.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.6927083333333333","0.998913049697876","0.0","6.0","4.0","1.0","0.0","0.0","woman"
"888adrianv","235.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.702127659574468","0.9892781972885132","0.0","63.0","9.0","10.0","6.0","4.0","man"
"939George","608.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","4.111842105263158","0.998865842819214","0.0","29.0","12.0","8.0","1.0","0.0","man"
"956stefanieb","629.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2.2257551669316373","0.9989258646965028","0.0","62.0","6.0","1.0","3.0","1.0","woman"
"959christosc","278.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.079136690647482","0.997436225414276","0.0","49.0","68.0","20.0","2.0","1.0","man"
"961christosc","200.0","0.0","1.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","2.0","0.9988963603973388","0.0","32.0","4.0","4.0","1.0","0.0","man"
"962minam","884.0","0.0","1.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","2.0361990950226243","0.9989405274391174","0.0","18.0","17.0","4.0","1.0","3.0","man"
"963Dave_C","786.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","3.0534351145038165","0.9989162683486938","0.0","22.0","11.0","1.0","0.0","0.0","man"
"981ahmete","219.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2.28310502283105","0.9988388419151306","0.0","14.0","4.0","1.0","3.0","1.0","man"
"985idanc","808.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2.103960396039604","0.0","0.9995086193084716","4.0","0.0","0.0","0.0","1.0","man"
"988ayala","1294.0","0.0","1.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","1.0819165378670788","0.9983521699905396","0.0","0.0","0.0","1.0","1.0","1.0","woman"
"991udayt","1020.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2.156862745098039","0.998932421207428","0.0","254.0","492.0","152.0","21.0","12.0","man"
"995silvian","244.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.639344262295082","0.9988786578178406","0.0","15.0","8.0","0.0","2.0","6.0","woman"
"A380fan","827.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2.176541717049577","0.9988825917243958","0.0","82.0","213.0","92.0","21.0","4.0","man"
"ABL68","658.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","2.43161094224924","0.9989224672317504","0.0","7.0","4.0","0.0","0.0","0.0","woman"
"ADj_63","811.5","0.0","0.0","0.0","0.0","0.0","0.5","0.5","0.0","0.0","1.3581135359485876","0.4994657933712005","0.4982644617557525","8.0","7.0","1.0","1.0","0.0","man"
"AH_CYP","334.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","3.892215568862276","0.998875081539154","0.0","98.0","85.0","45.0","9.0","4.0","man"
"AJMagwan","443.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.580135440180587","0.998881995677948","0.0","6.0","13.0","19.0","11.0","10.0","woman"
"ALAN M","434.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2.0737327188940093","0.9988800883293152","0.0","6.0","1.0","0.0","0.0","0.0","man"
"AMEM66","823.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.5795868772782502","0.9989380240440368","0.0","12.0","3.0","2.0","0.0","0.0","woman"
"ANES_B","343.0","0.0","1.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","2.332361516034985","0.9989295601844788","0.0","3.0","0.0","0.0","0.0","0.0","man"
"ANGELINA G","535.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.4953271028037385","0.9989288449287416","0.0","5.0","9.0","5.0","0.0","2.0","woman"
"ANJ002","461.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.9522776572668112","0.0","0.999451458454132","6.0","74.0","28.0","4.0","1.0","man"
"APOSTOLOS-RAPHAEL","646.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","3.4055727554179565","0.9989387392997742","0.0","68.0","67.0","22.0","2.0","2.0","man"
"ASinHONGKONG","1027.0","0.0","1.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","2.9211295034079843","0.9989196062088012","0.0","23.0","21.0","16.0","8.0","2.0","man"
"AVRA-Z","2052.0","0.0","1.0","0.0","1.0","1.0","1.0","1.0","0.0","0.0","2.241715399610136","0.9989349246025084","0.0","28.0","7.0","4.0","1.0","0.0","woman"
"Aamediko","647.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","2.009273570324575","0.994329273700714","0.0","16.0","9.0","8.0","1.0","0.0","man"
"AbuJan","1034.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.2572533849129592","0.9989328980445862","0.0","46.0","17.0","1.0","1.0","1.0","man"
"Acebeer","273.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.465201465201465","0.9989258646965028","0.0","27.0","2.0","4.0","1.0","0.0","man"
"Adam1222","1444.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2.5623268698060944","0.0","0.9994957447052002","3.0","7.0","6.0","4.0","2.0","man"
"AdamBilgy","356.5","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2.2120873665922063","0.9985887110233308","0.0","158.0","732.0","233.0","33.0","6.0","man"
"Addisi","998.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.2024048096192386","0.0","0.9995040893554688","43.0","21.0","14.0","5.0","2.0","man"
"Adimondo","721.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.9417475728155336","0.9988202452659608","0.0","4.0","1.0","4.0","0.0","1.0","man"
"Adrian W","2173.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.150483202945237","0.9988755583763124","0.0","18.0","20.0","18.0","5.0","2.0","man"
"AdvtrTrvlr","939.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.5974440894568689","0.9989394545555116","0.0","577.0","371.0","112.0","19.0","2.0","man"
"AeD2008","406.0","0.0","1.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","1.2315270935960592","0.9988259673118592","0.0","13.0","44.0","21.0","5.0","0.0","man"
"Aethelred","692.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.1560693641618496","0.9989325404167176","0.0","193.0","211.0","139.0","49.0","14.0","man"
"Agnes M","458.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.8733624454148471","0.998753547668457","0.0","16.0","9.0","2.0","1.0","3.0","woman"
"Aimos12","1650.0","0.0","1.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","1.090909090909091","0.9988685846328736","0.0","3.0","1.0","0.0","0.0","0.0","woman"
"AkisTsik","532.5","0.0","1.0","0.0","0.5","1.0","0.0","0.0","0.0","0.0","2.910893454371715","0.9989132881164552","0.0","57.0","46.0","18.0","4.0","2.0","man"
"AksNYC","822.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","3.0413625304136254","0.9988883137702942","0.0","71.0","39.0","15.0","8.0","1.0","man"
"AlT488","948.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2.848101265822785","0.9946134686470032","0.0","25.0","19.0","12.0","13.0","12.0","man"
"Alan C","1181.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.2415529065152566","0.0","0.9994783103466034","44.0","45.0","10.0","3.0","1.0","man"
"Alan W","660.5","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2.591298176709912","0.9989296793937684","0.0","7.0","0.0","0.0","0.0","0.0","man"
"Alan Y","2004.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.3972055888223551","0.9989209175109864","0.0","74.0","37.0","5.0","2.0","2.0","man"
"AlanMarch","674.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.3353115727002969","0.9988930821418762","0.0","35.0","79.0","25.0","2.0","1.0","man"
"AlanWheeler","219.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.91324200913242","0.9989321827888488","0.0","1.0","2.0","1.0","1.0","0.0","man"
"AlekaChios","326.0","0.0","1.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","2.147239263803681","0.992473840713501","0.0","20.0","13.0","2.0","1.0","2.0","woman"
"Aleksandar A","647.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2.3183925811437405","0.9989038705825806","0.0","6.0","0.0","0.0","0.0","0.0","man"
"AleksandarBGD","992.0","0.0","1.0","0.0","0.0","0.0","1.0","1.0","0.0","0.0","2.1169354838709675","0.9989359974861144","0.0","8.0","8.0","0.0","0.0","0.0","man"
"AleksandarS","772.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2.4247572147789485","0.9987162351608276","0.0","7.0","15.0","5.0","4.0","1.0","man"
"Aleksandr L","655.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.8320610687022905","0.99891459941864","0.0","9.0","3.0","2.0","1.0","1.0","man"
"Alex C","1588.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","1.63727959697733","0.9983933568000792","0.0","20.0","35.0","12.0","2.0","3.0","man"
"Alex J","1312.0","0.0","1.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","1.753048780487805","0.9988769888877868","0.0","218.0","120.0","47.0","5.0","1.0","man"
"Alex P","420.5","0.0","0.0","0.0","0.0","0.25","0.5","0.5","0.0","0.0","3.4302010109078105","0.998912587761879","0.0","2.0","1.0","0.0","0.0","0.0","man"
"Alex Y","331.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2.719033232628399","0.9989303946495056","0.0","43.0","45.0","18.0","8.0","4.0","man"
"AlexMasin","520.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2.1153846153846154","0.9989008903503418","0.0","2.0","1.0","0.0","0.0","0.0","woman"
"Alexa2706","281.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","5.338078291814947","0.9967511892318726","0.0","18.0","31.0","27.0","14.0","5.0","man"
"Alexander K","536.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.4925373134328357","0.9988596439361572","0.0","54.0","3.0","0.0","2.0","0.0","man"
"AlexanderBC","1817.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2.806824435883324","0.9989235997200012","0.0","1.0","2.0","0.0","0.0","0.0","man"
"Alexandros C","468.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.4957264957264955","0.9989379048347472","0.0","18.0","32.0","8.0","5.0","2.0","man"
"AliMi26","874.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.3729977116704806","0.9989394545555116","0.0","28.0","20.0","8.0","4.0","5.0","woman"
"AliWan","412.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2.4271844660194173","0.9989392161369324","0.0","11.0","2.0","0.0","0.0","0.0","woman"
"AlisdairGB","896.0","0.0","1.0","0.0","1.0","1.0","0.0","0.0","0.0","0.0","1.6741071428571428","0.99891996383667","0.0","41.0","48.0","6.0","0.0","0.0","man"
"Aliweng","426.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2.3474178403755865","0.9988532066345216","0.0","19.0","19.0","4.0","2.0","0.0","man"
"AlkiviadisR","795.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","3.89937106918239","0.998802900314331","0.0","43.0","18.0","5.0","2.0","1.0","man"
"AllanH337","1707.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2.1675454012888107","0.9988946318626404","0.0","17.0","12.0","3.0","0.0","0.0","man"
"Ally P","1420.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.1971830985915493","0.9989336133003236","0.0","8.0","10.0","10.0","1.0","0.0","woman"
"AlmaGreco","329.0","0.0","0.5","0.0","0.5","0.0","0.0","0.0","0.0","0.0","2.613661730783541","0.499460756778717","0.4997519254684448","11.0","2.0","2.0","3.0","1.0","woman"
"Almond66","1594.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.589131968023897","0.0","0.9983516335487366","16.0","6.0","4.0","0.0","1.0","woman"
"Alvertos R","710.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2.2535211267605635","0.9989186525344848","0.0","81.0","49.0","28.0","7.0","0.0","man"
"Am_et_Mat","292.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2.054794520547945","0.9988930821418762","0.0","427.0","59.0","13.0","0.0","3.0","man"
